Phone,State,Area Code,Int'l Plan,VMail Plan,Account Length,VMail Message,Day Mins,Eve Mins,Night Mins,Intl Mins,CustServ Est Mins,CustServ Actual Mins,CustServ Calls,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Intl Calls,Intl Charge,Total Charge,Churn
391-2702,NE,408,0,1,155,21,195.9,213.9,88.2,8.6,12,,0,91,33.3,84,18.18,111,3.97,4,2.32,57.77,0
383-3375,WV,415,0,0,145,0,129.4,185.4,204.7,1.1,46,41,2,97,22,101,15.76,106,9.21,2,0.3,47.27,0
392-2733,WY,510,0,1,116,12,221,151,179,9,37,,,108,37.57,118,12.84,80,8.06,6,2.43,60.9,0
397-9933,SC,408,0,0,152,0,140.5,186.8,227,9.5,,30,2,92,23.89,96,15.88,89,10.22,5,2.57,52.56,0
383-9306,MS,415,1,0,65,0,277.9,155.8,256.9,9.2,,33,,123,47.24,112,13.24,71,11.56,10,2.48,74.52,1
369-1929,ND,415,0,0,180,0,224.9,250,216.1,6.7,55,67,3,105,38.23,101,21.25,73,9.72,5,1.81,71.01,1
369-4377,IL,415,0,0,67,0,109.1,217.4,188.4,12.8,22,13,0,117,18.55,124,18.48,141,8.48,6,3.46,48.97,0
366-9430,OR,415,0,0,60,0,207.8,123.5,291.6,5.7,,14,0,109,35.33,112,10.5,115,13.12,9,1.54,60.49,0
353-7407,UT,510,0,0,138,0,205.9,257.1,209,12.1,0,,0,96,35,94,21.85,63,9.4,8,3.27,69.52,0
359-7426,IA,415,0,0,44,0,308.6,150.8,198.7,7.3,,49,4,139,52.46,94,12.82,66,8.94,3,1.97,76.19,1
332-7391,ME,510,0,0,25,0,242.6,209,219.7,14.4,36,38,2,69,41.24,117,17.77,82,9.89,6,3.89,72.79,0
405-6559,WY,408,0,0,145,0,229.6,138.1,250.8,3.3,18,17,1,82,39.03,103,11.74,109,11.29,3,0.89,62.95,0
338-8784,WI,510,0,1,122,28,166,233.9,170.1,7.7,29,,2,62,28.22,88,19.88,84,7.65,3,2.08,57.83,0
415-6347,SC,415,0,0,121,0,144.8,200.6,208.8,13.3,20,12,0,126,24.62,82,17.05,81,9.4,9,3.59,54.66,1
354-5058,DC,510,1,0,55,0,106.1,123.5,96.4,12.9,11,0,0,77,18.04,100,10.5,92,4.34,3,3.48,36.36,0
342-5701,CT,415,0,0,77,0,221.8,166,210.2,13.2,36,,1,84,37.71,125,14.11,72,9.46,4,3.56,64.84,0
378-4179,OR,415,0,0,12,0,204.6,212.5,182.1,9.8,40,26,2,98,34.78,90,18.06,95,8.19,7,2.65,63.68,0
407-6391,OR,510,0,0,64,0,213.5,166.6,122,14.1,50,,3,93,36.3,114,14.16,78,5.49,3,3.81,59.76,0
404-3105,NV,415,0,1,92,44,152,274.9,162.4,10,32,,,95,25.84,73,23.37,121,7.31,1,2.7,59.22,0
390-9735,MN,415,1,1,125,29,260.8,163.7,271.7,17,34,34,1,81,44.34,112,13.91,117,12.23,6,4.59,75.07,1
350-4820,OK,408,0,0,160,0,166.4,317,160.4,10,36,29,1,117,28.29,129,26.95,121,7.22,2,2.7,65.16,0
383-8807,KS,415,0,0,79,0,177.9,167.3,223.7,15.2,21,,0,83,30.24,84,14.22,142,10.07,8,4.1,58.63,0
366-8382,RI,415,0,0,36,0,235.1,196.8,259.7,7,57,,3,97,39.97,104,16.73,110,11.69,7,1.89,70.28,0
402-9704,DC,415,0,0,102,0,186.8,173.7,250.9,9.7,38,38,2,92,31.76,123,14.76,131,11.29,4,2.62,60.43,0
405-2209,IL,408,1,0,138,0,268.4,174.4,193.5,11.6,20,25,1,81,45.63,115,14.82,96,8.71,4,3.13,72.29,0
397-3939,UT,510,0,0,164,0,192.1,249.8,132.6,7.3,45,22,,95,32.66,94,21.23,100,5.97,3,1.97,61.83,0
343-2689,MN,415,0,0,125,0,240.7,269.4,187.1,10.1,3,14,0,82,40.92,85,22.9,74,8.42,3,2.73,74.97,1
383-9448,WI,408,0,0,72,0,179.9,149.8,168.2,9.8,,21,2,113,30.58,112,12.73,79,7.57,7,2.65,53.53,0
359-6232,MI,415,0,0,74,0,314.1,222.4,259,12.3,,49,3,86,53.4,99,18.9,121,11.66,5,3.32,87.28,1
369-9772,MI,415,0,1,134,41,162,324.7,160.1,11.9,,21,0,82,27.54,77,27.6,112,7.2,5,3.21,65.55,0
381-7003,MA,415,0,0,145,0,175.8,274.3,226.6,12.4,35,26,1,89,29.89,119,23.32,69,10.2,4,3.35,66.76,0
352-6732,AL,510,0,0,136,0,109.4,207.5,135,11.6,20,7,0,91,18.6,111,17.64,107,6.08,5,3.13,45.45,0
388-7540,SC,510,0,0,209,0,255.1,230.6,218,8.5,,41,3,124,43.37,110,19.6,69,9.81,5,2.3,75.08,1
356-3333,WI,415,1,0,66,0,208.7,173.3,264.7,8.3,32,26,3,84,35.48,88,14.73,107,11.91,3,2.24,64.36,0
333-9664,VT,510,0,1,152,20,214.6,96.6,170.7,7.9,27,,1,108,36.48,82,8.21,145,7.68,5,2.13,54.5,0
363-3763,CT,408,0,0,162,0,49.2,143.9,203,12.1,23,28,1,121,8.36,136,12.23,97,9.14,13,3.27,33,0
345-7900,OR,510,0,0,72,0,141.3,134.9,227.5,11.2,31,31,,133,24.02,96,11.47,97,10.24,3,3.02,48.75,0
400-5511,HI,415,0,0,101,0,253.2,237.9,154.3,9.7,64,64,4,89,43.04,114,20.22,85,6.94,7,2.62,72.82,0
381-7597,WV,415,0,0,125,0,206,198.1,135.9,13.2,6,6,,128,35.02,71,16.84,116,6.12,3,3.56,61.54,0
404-9775,RI,408,0,0,46,0,40.4,172.4,145.1,9,33,39,2,105,6.87,83,14.65,89,6.53,2,2.43,30.48,0
389-4608,MI,408,0,0,132,0,291.2,234.2,191.7,8.9,,,1,104,49.5,132,19.91,87,8.63,3,2.4,80.44,1
403-1742,ME,415,0,1,193,31,71.2,124.7,155.5,11.7,,,,58,12.1,105,10.6,108,7,3,3.16,32.86,0
328-9797,WV,510,0,0,63,0,261.8,245,202.1,14.7,2,24,0,69,44.51,135,20.83,94,9.09,4,3.97,78.4,1
359-9223,NE,510,0,0,124,0,191.3,261.5,182.3,10,36,,1,134,32.52,113,22.23,111,8.2,3,2.7,65.65,0
336-7696,DC,415,0,0,144,0,133.3,255.5,228.6,11.6,22,17,0,101,22.66,127,21.72,68,10.29,2,3.13,57.8,0
369-2214,NH,408,0,1,116,24,183.6,203.8,166.9,6,22,32,2,138,31.21,90,17.32,89,7.51,3,1.62,57.66,0
411-1325,MD,415,0,1,189,30,155.2,195.5,170.1,15.4,38,10,1,116,26.38,50,16.62,108,7.65,6,4.16,54.81,0
410-7553,NH,408,0,1,97,28,283.1,185.4,312.8,6.1,23,39,1,93,48.13,98,15.76,78,14.08,8,1.65,79.62,0
376-4284,WV,510,0,1,137,50,186.5,178,215.6,12.1,28,17,,94,31.71,106,15.13,100,9.7,4,3.27,59.81,0
334-2800,IL,415,0,1,142,38,163.3,136,249.1,4.3,30,,0,104,27.76,114,11.56,127,11.21,6,1.16,51.69,0
369-1904,OK,510,0,0,84,0,203.4,182.9,213.7,13.8,15,32,1,125,34.58,88,15.55,121,9.62,2,3.73,63.48,0
359-3833,NH,415,0,1,119,19,178.1,212.8,226.3,10,12,18,,110,30.28,100,18.09,123,10.18,6,2.7,61.25,0
348-5569,MI,415,0,0,158,0,195.9,89.1,302.2,10.3,,18,1,103,33.3,95,7.57,82,13.6,3,2.78,57.25,0
342-1960,ND,415,0,0,50,0,295.3,127.4,166.8,9.6,32,,1,127,50.2,100,10.83,105,7.51,6,2.59,71.13,0
352-9050,LA,408,0,0,98,0,136.1,156.3,158.8,10.1,,41,2,82,23.14,118,13.29,83,7.15,5,2.73,46.31,0
390-5316,HI,415,0,1,101,24,114.1,161.5,176.3,13,31,48,2,95,19.4,86,13.73,90,7.93,9,3.51,44.57,0
418-8568,NJ,415,0,0,182,0,279.1,180.5,217.5,9.5,42,18,2,124,47.45,108,15.34,104,9.79,11,2.57,75.15,1
401-4844,WV,408,0,0,51,0,169.3,139.5,197,12,19,0,0,111,28.78,69,11.86,87,8.87,3,3.24,52.75,0
376-5471,NC,510,0,0,117,0,214.4,138,148.7,9.9,28,15,2,94,36.45,149,11.73,102,6.69,1,2.67,57.54,0
409-2917,PA,415,1,0,92,0,255.8,142.7,181.2,11.7,21,29,0,125,43.49,111,12.13,101,8.15,3,3.16,66.93,0
369-6308,MI,408,0,0,86,0,148.2,285.1,166.4,6.2,21,34,2,71,25.19,91,24.23,155,7.49,3,1.67,58.58,0
357-7385,WY,415,0,0,122,0,119.3,223.9,211.9,8.7,30,24,2,93,20.28,103,19.03,122,9.54,4,2.35,51.2,0
405-7119,NJ,408,0,1,156,27,192.3,199.9,244.2,14.8,39,26,1,137,32.69,115,16.99,112,10.99,8,4,64.67,0
405-3309,NJ,510,0,0,127,0,245.2,217.2,243.1,13.9,24,0,0,91,41.68,92,18.46,128,10.94,6,3.75,74.83,1
384-4938,NC,408,1,0,130,0,216.2,363.7,126.7,16.9,66,,5,106,36.75,86,30.91,123,5.7,2,4.56,77.92,1
377-2725,NM,408,0,0,158,0,172.4,256.6,235.3,0,21,,2,114,29.31,69,21.81,104,10.59,0,0,61.71,0
405-6398,MS,510,1,1,145,30,175.3,153.3,233.6,11.1,,16,1,107,29.8,116,13.03,85,10.51,3,3,56.34,0
355-9366,TX,415,1,1,90,26,169,188.8,213.3,13.3,5,25,0,104,28.73,104,16.05,76,9.6,3,3.59,57.97,1
403-1128,OK,510,0,1,127,27,2.6,254,242.7,9.2,41,,3,113,0.44,102,21.59,156,10.92,5,2.48,35.43,0
384-9682,ID,415,0,0,109,0,184.1,211.7,243,9.9,17,31,1,143,31.3,105,17.99,116,10.93,2,2.67,62.89,0
352-5393,AL,415,0,0,88,0,181.9,151.5,143,7.5,11,22,1,90,30.92,87,12.88,100,6.44,3,2.03,52.27,0
395-1229,WY,510,0,1,101,9,160.1,210,139.1,10.8,9,23,0,116,27.22,121,17.85,65,6.26,9,2.92,54.25,0
361-9195,HI,510,0,0,171,0,189.8,173.7,257.1,10.3,26,23,0,122,32.27,85,14.76,84,11.57,1,2.78,61.38,0
351-6366,VA,415,0,0,21,0,223.2,216.5,214.7,12.4,19,,1,142,37.94,114,18.4,111,9.66,2,3.35,69.35,0
346-4919,WV,408,0,1,145,31,216,225.1,234.7,10.7,,,2,94,36.72,123,19.13,109,10.56,1,2.89,69.3,0
354-9068,DE,415,0,0,90,0,198.5,266.6,243.3,8,49,30,2,124,33.75,100,22.66,80,10.95,7,2.16,69.52,0
369-2743,CA,408,0,0,33,0,159.5,195.4,102.4,7.1,12,,1,115,27.12,118,16.61,86,4.61,7,1.92,50.26,0
343-1347,PA,408,0,1,61,40,105,180.6,174.1,10.2,38,29,2,78,17.85,100,15.35,115,7.83,2,2.75,43.78,1
336-5495,CO,415,0,0,107,0,204.5,162.4,155,13.4,,53,,108,34.77,110,13.8,102,6.98,1,3.62,59.17,0
376-4292,MD,408,0,0,147,0,274,231.8,283.6,6.2,15,20,0,92,46.58,82,19.7,83,12.76,1,1.67,80.71,1
391-8677,AL,510,0,0,117,0,158.7,181.7,177.3,7.7,,36,2,84,26.98,91,15.44,67,7.98,10,2.08,52.48,0
350-7273,AL,415,0,0,95,0,229.9,202.4,171.4,14.2,15,20,1,116,39.08,110,17.2,105,7.71,6,3.83,67.82,0
400-6454,KS,510,0,0,186,0,137.8,187.7,146.4,8.7,34,36,1,97,23.43,118,15.95,85,6.59,6,2.35,48.32,0
422-3052,MI,415,0,0,128,0,179.4,270.4,191,7.9,30,,0,94,30.5,92,22.98,88,8.59,4,2.13,64.2,0
365-6756,AK,408,0,1,55,39,139.3,178.3,246.5,8.1,37,68,3,101,23.68,117,15.16,104,11.09,1,2.19,52.12,0
406-4158,OH,415,0,0,134,0,7.8,171.4,186.5,12.9,42,28,2,86,1.33,100,14.57,80,8.39,2,3.48,27.77,0
383-4641,IN,415,0,1,96,23,183.1,147.4,350.2,11.3,18,,,88,31.13,89,12.53,108,15.76,7,3.05,62.47,0
368-5165,SC,415,0,0,107,0,206.9,262.4,149.3,10.7,6,19,0,79,35.17,117,22.3,69,6.72,3,2.89,67.08,0
378-2432,KS,415,0,0,123,0,140,153.7,50.1,12.5,,14,2,106,23.8,101,13.06,87,2.25,1,3.38,42.49,0
362-4159,OK,415,0,0,35,0,179.2,283.3,285.4,5.8,48,,2,59,30.46,101,24.08,83,12.84,7,1.57,68.95,0
363-7979,WI,408,0,0,74,0,177.4,240.3,237.3,12,,0,0,136,30.16,104,20.43,133,10.68,3,3.24,64.51,0
334-9818,IN,408,0,0,130,0,115.6,167.8,141.8,12.6,10,,1,129,19.65,104,14.26,124,6.38,9,3.4,43.69,0
352-5787,IL,408,1,0,137,0,237.3,176.7,263.4,14.2,22,6,0,103,40.34,84,15.02,81,11.85,4,3.83,71.04,1
332-3617,TN,415,0,0,88,0,181.5,187,220.3,10.5,38,38,1,116,30.86,119,15.9,96,9.91,7,2.84,59.51,0
327-9957,DC,408,0,0,80,0,51.5,164,169.4,9.5,,38,3,90,8.76,98,13.94,80,7.62,4,2.57,32.89,0
338-7527,NC,408,0,1,116,19,155.7,185.4,192.7,8.2,50,47,3,104,26.47,118,15.76,116,8.67,2,2.21,53.11,0
348-8711,RI,510,0,1,123,23,245,265,239.7,14.9,46,50,2,88,41.65,105,22.53,108,10.79,3,4.02,78.99,0
421-3226,MS,415,0,0,120,0,131.7,163.1,201.1,10.7,,37,1,99,22.39,109,13.86,116,9.05,3,2.89,48.19,0
391-4358,VA,415,1,0,146,0,111.1,313.4,215.7,10.5,28,48,1,126,18.89,95,26.64,82,9.71,6,2.84,58.08,0
379-2523,KY,510,0,1,106,9,88.5,324.8,79.9,8.2,37,,3,100,15.05,109,27.61,86,3.6,4,2.21,48.47,0
419-2369,NV,408,0,1,121,44,116,150.1,246.8,12,30,,1,85,19.72,120,12.76,98,11.11,2,3.24,46.83,0
382-1227,WI,510,0,0,137,0,155.5,133.1,253.1,9.1,19,7,1,81,26.44,94,11.31,77,11.39,2,2.46,51.6,0
409-5749,NH,408,0,1,84,30,106.5,225.7,188.6,5.7,30,54,2,65,18.11,108,19.18,61,8.49,3,1.54,47.32,0
362-7951,NE,510,0,1,67,31,175.2,199.2,219.8,13.2,10,11,1,68,29.78,73,16.93,99,9.89,6,3.56,60.16,0
415-3537,WI,408,0,0,161,0,154.7,177.8,172.9,5.9,54,62,4,84,26.3,125,15.11,90,7.78,2,1.59,50.78,1
373-3959,NJ,510,0,1,134,34,247.2,225.5,186.3,6.1,,56,2,105,42.02,133,19.17,76,8.38,5,1.65,71.22,1
358-1346,ME,415,1,1,62,32,218.4,236.7,192.2,13.2,,,0,93,37.13,132,20.12,137,8.65,3,3.56,69.46,1
381-8422,WY,415,0,1,120,24,227.5,234.9,166.4,9,,15,1,81,38.68,71,19.97,128,7.49,13,2.43,68.57,0
360-9005,IN,408,0,1,130,30,185,249.5,157.8,7.4,8,0,0,117,31.45,141,21.21,103,7.1,7,2,61.76,0
344-5967,WI,408,0,0,20,0,186.8,253.4,273.1,12.3,21,27,2,89,31.76,51,21.54,105,12.29,6,3.32,68.91,0
396-6390,VT,415,0,0,68,0,158.8,211.8,198.1,10.3,36,19,1,119,27,105,18,101,8.91,3,2.78,56.69,0
346-5036,CA,415,0,0,112,0,208.7,212.8,178.1,8.5,19,,0,150,35.48,104,18.09,98,8.01,4,2.3,63.88,0
328-7252,IN,408,0,0,77,0,185.9,212,282.3,11.3,40,44,3,95,31.6,98,18.02,81,12.7,4,3.05,65.37,0
360-1745,SC,415,0,0,109,0,222.5,169.7,264.3,9,31,43,2,74,37.83,75,14.42,94,11.89,3,2.43,66.57,0
358-2046,IN,415,0,0,108,0,201.1,170.7,237.4,11.6,30,28,3,101,34.19,86,14.51,113,10.68,3,3.13,62.51,0
344-6935,IA,415,0,1,79,17,167.9,243.7,211.9,9.1,17,18,1,114,28.54,93,20.71,114,9.54,2,2.46,61.25,0
401-9665,MD,408,0,0,119,0,239.1,243.5,230.9,10.9,,50,3,88,40.65,79,20.7,92,10.39,3,2.94,74.68,1
399-5291,MN,510,0,0,38,0,175.7,211.8,137.9,9.2,65,42,5,109,29.87,97,18,109,6.21,3,2.48,56.56,1
409-6588,AR,415,0,1,109,29,111.2,263.5,224.7,9,66,,6,90,18.9,98,22.4,128,10.11,6,2.43,53.84,1
358-5721,MS,415,0,0,78,0,87.7,214.8,201.3,10.8,26,40,1,74,14.91,58,18.26,147,9.06,6,2.92,45.15,0
414-7446,MN,415,0,0,134,0,244.1,246.9,200,7.2,26,9,0,99,41.5,111,20.99,133,9,2,1.94,73.43,0
329-9517,WA,415,0,1,47,27,165,127.3,284.4,7.7,22,,2,89,28.05,118,10.82,95,12.8,4,2.08,53.75,0
415-9553,MS,408,0,1,59,27,127.4,103.3,164.2,9.1,,2,0,110,21.66,99,8.78,73,7.39,3,2.46,40.29,0
413-3177,ID,415,0,0,151,0,194.8,292.7,224.6,5.5,,,0,106,33.12,103,24.88,82,10.11,3,1.49,69.6,0
347-5113,NC,415,0,0,129,0,54.7,256.1,176.6,11.1,14,20,1,131,9.3,105,21.77,135,7.95,4,3,42.02,0
330-2662,VA,510,0,1,107,27,283.4,224.1,241.3,14.4,40,4,2,104,48.18,152,19.05,63,10.86,7,3.89,81.98,0
330-5824,MT,408,1,0,137,0,258,246.5,173.2,10.9,15,35,0,112,43.86,117,20.95,100,7.79,3,2.94,75.54,1
411-1261,MI,510,0,0,76,0,90.5,211.7,194.9,9.3,12,14,,142,15.39,75,17.99,76,8.77,2,2.51,44.66,0
329-8788,HI,415,0,0,24,0,235.6,115.9,185.4,16.2,,,0,132,40.05,129,9.85,136,8.34,2,4.37,62.61,0
333-7869,NC,408,0,0,169,0,142.5,231.4,131.2,10,37,14,2,82,24.23,110,19.67,67,5.9,4,2.7,52.5,0
399-4800,MN,408,0,0,30,0,54,179.3,247.2,10.2,21,0,1,68,9.18,96,15.24,101,11.12,8,2.75,38.29,0
402-2072,WV,415,0,0,70,0,214.8,131,216.9,9.4,44,,3,87,36.52,114,11.14,104,9.76,3,2.54,59.96,0
403-6187,SD,510,1,0,52,0,251.4,196.6,192,11,0,12,0,118,42.74,80,16.71,53,8.64,2,2.97,71.06,1
355-2872,HI,408,0,0,3,0,139,250.7,286.2,6.1,,55,,99,23.63,108,21.31,87,12.88,3,1.65,59.47,0
386-2970,MS,415,0,0,38,0,117.3,208.7,203.4,14.4,44,,2,114,19.94,105,17.74,98,9.15,2,3.89,50.72,0
389-6081,NY,415,0,0,104,0,264,132.2,177.7,10.6,,53,3,108,44.88,75,11.24,91,8,8,2.86,66.98,0
348-7556,LA,408,0,0,27,0,82.6,204,224.2,9.1,21,,1,105,14.04,99,17.34,122,10.09,4,2.46,43.93,0
334-9163,KS,415,1,1,166,28,175.8,253.6,128.5,11.4,35,,1,126,29.89,76,21.56,72,5.78,5,3.08,60.31,0
411-4293,MA,408,0,0,13,0,220.4,211.2,259.3,13.6,23,19,2,100,37.47,79,17.95,112,11.67,8,3.67,70.76,0
375-5562,AK,408,0,0,52,0,217,152.3,134.3,11.8,37,22,2,104,36.89,83,12.95,109,6.04,4,3.19,59.07,0
386-3823,SD,415,0,1,114,25,129,290,177.1,11.6,33,28,1,77,21.93,110,24.65,110,7.97,5,3.13,57.68,0
364-6445,CO,408,0,0,156,0,150.5,152.9,215.9,3.5,20,,1,106,25.59,112,13,86,9.72,3,0.95,49.26,0
383-2251,NH,415,0,1,90,42,193.3,263.3,214.4,11.1,1,18,0,66,32.86,85,22.38,97,9.65,4,3,67.89,0
351-3169,WV,415,0,0,62,0,189.5,103.8,180.6,10.8,37,30,2,122,32.22,95,8.82,106,8.13,5,2.92,52.09,0
413-6380,AZ,415,0,1,82,33,137.8,235.5,268.1,11,30,39,2,95,23.43,128,20.02,70,12.06,6,2.97,58.48,0
380-9674,ME,510,0,0,52,0,129.3,142.7,258.3,12.3,,52,3,80,21.98,101,12.13,89,11.62,4,3.32,49.05,0
345-2319,NH,510,0,0,146,0,115.6,213.6,218.4,10.7,27,4,1,77,19.65,100,18.16,72,9.83,6,2.89,50.53,0
377-5441,RI,415,0,1,120,23,221.9,254.7,250.5,7.2,26,28,2,114,37.72,84,21.65,117,11.27,5,1.94,72.58,0
358-3692,ID,415,0,0,130,0,263.7,186.5,195.3,18.3,,6,1,113,44.83,103,15.85,99,8.79,6,4.94,74.41,1
400-5831,WI,408,0,0,90,0,61.3,194.4,143.1,11.4,13,37,,91,10.42,94,16.52,80,6.44,9,3.08,36.46,0
357-5995,NM,408,1,0,147,0,183.8,164.7,111,10.1,16,,1,113,31.25,110,14,87,5,4,2.73,52.98,0
391-2159,WY,415,0,0,159,0,167.4,143.8,140.1,10.3,,,0,68,28.46,74,12.22,111,6.3,3,2.78,49.76,1
398-5954,IL,510,0,1,74,27,154.1,195.3,276.7,13.2,44,,4,122,26.2,150,16.6,86,12.45,2,3.56,58.81,0
385-6175,TX,408,0,0,130,0,252,170.2,209.2,5.7,21,6,0,101,42.84,105,14.47,64,9.41,5,1.54,68.26,0
334-2961,RI,408,1,0,155,0,163.1,291.7,96.4,11.2,5,,0,94,27.73,108,24.79,111,4.34,3,3.02,59.88,0
405-4303,MI,415,0,0,87,0,198.3,187,133.5,16.6,,50,2,80,33.71,89,15.9,96,6.01,4,4.48,60.1,0
406-4100,OR,415,0,0,81,0,324.7,236.4,187.6,13.1,24,,0,48,55.2,82,20.09,78,8.44,5,3.54,87.27,1
352-4401,VA,510,0,0,99,0,128.3,215.3,143.7,14.3,32,19,2,78,21.81,120,18.3,140,6.47,9,3.86,50.44,0
347-1473,SD,510,0,0,131,0,187.9,200.5,202.6,10.2,35,17,2,110,31.94,101,17.04,125,9.12,11,2.75,60.85,0
347-2016,AL,510,0,0,89,0,129.2,214.1,214.9,10.3,58,,5,71,21.96,68,18.2,100,9.67,4,2.78,52.61,1
388-8948,MS,415,1,0,123,0,125.5,128.9,251.9,6.3,53,56,4,106,21.34,96,10.96,129,11.34,6,1.7,45.34,1
402-5509,MS,510,0,1,130,26,257.2,224.3,204,12.6,24,17,1,108,43.72,122,19.07,118,9.18,4,3.4,75.37,0
367-2598,HI,415,0,0,99,0,124.6,146.4,169.4,10.5,21,30,1,90,21.18,70,12.44,95,7.62,6,2.84,44.08,0
370-5001,WV,408,0,0,36,0,175.1,216.9,243.7,9.9,31,36,1,144,29.77,69,18.44,146,10.97,3,2.67,61.85,0
332-3693,WV,415,0,0,87,0,124.3,173.4,256.3,7.5,53,48,3,91,21.13,105,14.74,109,11.53,5,2.03,49.43,0
403-9766,WV,415,0,0,139,0,271.6,156,136.3,11.6,,40,2,130,46.17,131,13.26,108,6.13,9,3.13,68.69,0
363-2407,IN,510,0,0,189,0,219.9,143.3,130.6,11.7,38,22,1,80,37.38,117,12.18,69,5.88,7,3.16,58.6,0
395-9214,NM,415,0,1,96,33,183.3,201.4,177.4,10.4,54,,3,115,31.16,87,17.12,84,7.98,15,2.81,59.07,0
351-8894,DE,408,0,0,112,0,101.1,214.4,179.5,10.3,31,,2,119,17.19,67,18.22,112,8.08,5,2.78,46.27,0
406-5003,NC,408,0,0,75,0,203.3,228.9,222.2,14.3,36,13,1,70,34.56,97,19.46,118,10,3,3.86,67.88,0
398-1332,NM,415,0,1,178,35,175.4,190,138.7,10.5,25,41,2,88,29.82,65,16.15,94,6.24,3,2.84,55.05,0
363-8033,SC,415,0,0,112,0,266,214.6,306.2,14.2,22,,2,97,45.22,94,18.24,100,13.78,2,3.83,81.07,1
333-1012,NJ,415,0,1,108,41,171.6,136.1,183.4,10.8,18,11,0,110,29.17,78,11.57,103,8.25,7,2.92,51.91,0
391-6260,AZ,510,0,0,100,0,78.7,225.6,150.4,14,3,,0,98,13.38,102,19.18,106,6.77,8,3.78,43.11,0
336-1353,RI,510,0,1,121,20,211.9,215.1,238.5,9.4,21,33,0,110,36.02,120,18.28,107,10.73,2,2.54,67.57,0
365-5629,SD,415,0,0,116,0,63.7,195.8,210.1,10,18,26,1,101,10.83,95,16.64,87,9.45,6,2.7,39.62,0
349-4397,NH,415,0,0,161,0,173.4,213.7,141.5,11.5,26,,1,100,29.48,74,18.16,69,6.37,4,3.11,57.12,0
380-3910,AL,415,1,0,19,0,237.7,207.1,182.2,4.5,10,,,98,40.41,121,17.6,95,8.2,4,1.22,67.43,0
354-7820,WV,415,0,0,104,0,225.9,162.8,272.1,10.1,25,12,1,123,38.4,106,13.84,85,12.24,4,2.73,67.21,0
338-9952,ID,415,1,1,119,32,173,209.4,231.1,12.2,25,0,0,101,29.41,93,17.8,91,10.4,4,3.29,60.9,0
405-1821,MD,415,0,0,125,0,224.9,143.8,198.9,8,13,,0,102,38.23,87,12.22,105,8.95,2,2.16,61.56,0
329-8669,IN,510,0,0,156,0,237.7,181.5,185.7,7.7,33,29,1,122,40.41,91,15.43,151,8.36,4,2.08,66.28,0
328-8808,WY,415,0,0,109,0,137,217,182.1,10,,55,2,128,23.29,116,18.45,86,8.19,5,2.7,52.63,0
409-3018,NH,510,0,0,95,0,142.5,176.1,189.6,8.2,27,37,2,109,24.23,107,14.97,88,8.53,3,2.21,49.94,0
421-5994,MN,408,0,0,90,0,142.4,126.2,274.2,4.6,,31,1,126,24.21,118,10.73,71,12.34,4,1.24,48.52,0
354-4448,MA,415,0,1,105,21,147,197.3,267.4,8.7,45,45,2,112,24.99,43,16.77,93,12.03,3,2.35,56.14,0
352-5081,NH,510,0,0,101,0,220.3,188.6,278.4,10.6,29,35,1,124,37.45,101,16.03,98,12.53,4,2.86,68.87,0
401-7803,MN,415,0,0,95,0,149.2,260.7,201,8.1,34,32,1,96,25.36,116,22.16,120,9.05,2,2.19,58.76,0
420-6052,IA,415,0,0,123,0,204.4,137.5,226,10,24,4,,88,34.75,111,11.69,100,10.17,4,2.7,59.31,0
352-6084,NY,408,0,0,160,0,216.8,207.3,228.6,5.6,24,8,1,77,36.86,117,17.62,117,10.29,2,1.51,66.28,0
388-8583,AL,510,0,1,141,28,308,247.8,152.9,7.4,30,10,1,123,52.36,128,21.06,103,6.88,3,2,82.3,0
415-3158,WV,415,0,0,87,0,58,67.5,185.9,11.5,9,1,0,125,9.86,116,5.74,136,8.37,3,3.11,27.08,0
402-9304,NM,415,0,0,81,0,173.2,236.2,240.2,11.8,44,,2,80,29.44,94,20.08,84,10.81,6,3.19,63.52,0
341-1916,CA,415,0,1,75,19,210.3,241.8,215.7,13.1,52,44,,90,35.75,87,20.55,102,9.71,3,3.54,69.55,0
381-2745,MA,408,0,1,126,24,58.9,305.5,158.9,12.1,18,15,0,125,10.01,90,25.97,73,7.15,6,3.27,46.4,0
402-5014,ME,415,0,0,28,0,236.8,167.1,280.2,9.7,,21,3,102,40.26,87,14.2,115,12.61,3,2.62,69.69,0
399-8846,FL,415,0,0,153,0,228.9,160.7,203.1,12.5,,23,,102,38.91,136,13.66,109,9.14,2,3.38,65.09,0
328-9267,NH,408,0,1,97,32,90,276.3,185.2,8.6,30,39,2,87,15.3,113,23.49,107,8.33,6,2.32,49.44,1
348-7224,IN,408,0,0,115,0,146.7,106.2,197.7,11.1,,30,,128,24.94,74,9.03,104,8.9,4,3,45.87,0
336-2190,WI,408,0,0,95,0,237.3,154,237,11.2,22,24,1,83,40.34,65,13.09,105,10.67,6,3.02,67.12,0
376-4705,MA,415,1,0,17,0,162.8,229.6,332.7,13.6,,14,0,118,27.68,91,19.52,94,14.97,3,3.67,65.84,1
381-4076,NH,415,0,1,105,20,186.9,256.3,334.7,8.9,16,31,1,114,31.77,91,21.79,104,15.06,2,2.4,71.02,0
